"MassFeature","mz","rt","column","z","MS2"
"Gluconic Acid",195.05048,647.4,"HILIC",-1,"194.9054, 100; 176.89465, 70.3; 160.84132, 41.9; 70.94489, 24.5; 195.81052, 14; 195.90552, 11.2; 72.94194, 11; 177.89473, 7.6; 87.97147, 7; 116.92752, 6.1; 196.06377, 5.8; 89.96853, 3.3; 195.06721, 2.1; 214.82199, 1.9; 169.05129, 1.7; 78.91772, 1.7; 65.01329, 1.3; 142.04018, 1.2; 132.05575, 1.2; 80.91568, 1.1; 158.84578, 1; 130.04013, 1; 168.05605, 0.9; 61.98722, 0.9; 82.03986, 0.8; 177.90248, 0.8; 79.95622, 0.7; 90.00861, 0.7"
"I214.0388R5.25",214.0388327,314.7142973,"HILIC",-1,NA
"I214.0484R11.68",214.0484319,700.9751319,"HILIC",-1,NA
"I217.93R10.87",217.929975,652.2021629,"HILIC",-1,NA
"I219.9271R10.87",219.9270866,651.9006032,"HILIC",-1,"214.90703, 100; 219.84537, 12.5; 192.87328, 6.4; 201.96097, 6.1; 149.46335, 4.3; 108.55673, 4.2; 219.98431, 4.2; 219.92659, 4; 100.6245, 3.8; 111.05412, 3.8; 124.00633, 3.7; 213.15256, 3.6; 64.40733, 3.6; 140.31136, 3.5; 195.99802, 3.4; 154.50761, 3.4; 63.50486, 3.3; 80.68588, 3.3; 128.74121, 3.3; 127.58537, 3.2; 134.57904, 3.1; 75.16208, 3.1; 117.3745, 3.1; 52.81305, 2.9; 52.64243, 2.7"
"I221.022R10.39",221.0220122,623.3766186,"HILIC",-1,NA
"I225.1607R2.2",225.1606781,131.9582175,"HILIC",-1,"83.04906, 100; 225.16049, 65.5; 198.07785, 56.7; 185.07004, 43.7; 106.03991, 42.7; 65.01333, 42; 156.05586, 41.9; 57.03339, 41.2; 171.06699, 37.1; 183.06691, 32.9; 217.61768, 31.2; 66.00854, 29.3; 157.05119, 29; 225.08937, 26.8; 156.01163, 26.2; 132.05563, 21.6; 110.06007, 20.3; 141.00043, 18.5; 159.06674, 17.7; 89.0134, 16.5; 207.15027, 16.1; 90.00869, 13.3; 80.96409, 12.9; 112.0395, 12.9; 116.02448, 11.9; 144.05585, 11.5; 79.95638, 11.1; 130.04024, 11; 121.05117, 10.9; 145.05139, 10.5; 82.03992, 10.4; 166.05379, 9.4; 144.04341, 9.4; 226.10852, 9; 120.05561, 8.8; 125.89862, 5.8; 172.06197, 5.6; 182.11813, 5.5; 225.07767, 5.4; 184.06284, 5.3; 133.05128, 5.3; 146.07129, 5.2; 92.02431, 5.1; 91.02908, 5.1; 192.98085, 4.9; 180.10248, 4.9; 131.03546, 4.8; 197.08278, 4.8; 143.03535, 4.7; 143.08185, 4.6; 81.03341, 4.5; 85.02839, 4.3; 105.04479, 4.2; 97.06465, 4.2; 142.04047, 3.9; 112.0759, 3.8; 137.0965, 3.8; 225.11394, 3.8; 158.05933, 3.6; 210.06566, 3.6; 199.06242, 3.5; 199.08122, 3.5; 118.04006, 3.3; 147.06662, 3.2; 169.28752, 3.2; 160.06241, 3.1; 183.42558, 3.1; 77.14225, 2.9; 182.04652, 2.9; 152.67542, 2.9; 158.07155, 2.8; 97.30833, 2.7; 95.04919, 2.7; 198.088, 2.7; 57.83104, 2.7; 172.05165, 2.7; 233.74657, 2.7; 125.53735, 2.6; 160.22879, 2.5; 123.901, 2.5; 226.07376, 2.5; 226.16298, 2.4; 120.87383, 2.4; 93.08843, 2.4; 140.07068, 2.3; 65.74368, 2.2; 59.78609, 2.2; 55.42093, 2.1; 55.45527, 2; 54.19585, 2; 54.90461, 1.9; 58.12186, 1.9"
"I229.1557R2",229.1557499,120.144437,"HILIC",-1,"166.05359, 100; 188.93884, 71; 185.16536, 33.3; 229.15555, 29.8; 217.87938, 22.1; 206.94948, 17.6; 130.08641, 17.6; 116.07056, 13.4; 82.04004, 7.8; 65.01341, 4.5; 106.03987, 4.1; 120.05569, 3.8; 132.05592, 3.4; 121.05125, 3.2; 167.05727, 3.1; 229.14421, 2.9; 188.0934, 2.9; 162.95932, 2.8; 217.8895, 2.6; 144.05614, 2.5; 141.09128, 2.4; 211.13364, 2.2; 56.9946, 2.2; 79.95619, 2.1; 186.07843, 2.1; 159.06682, 2.1; 229.07312, 2.1; 98.38669, 2; 229.3564, 2; 78.97002, 2; 237.9994, 1.9; 96.93784, 1.9; 126.39436, 1.9; 145.05086, 1.9; 96.95912, 1.8; 92.55325, 1.8; 75.30148, 1.7; 53.62584, 1.6; 71.2633, 1.6"
"I232.0231R10.77",232.0231044,646.4212236,"HILIC",-1,NA
"I239.002R2.89",239.0020288,173.2638476,"HILIC",-1,NA
