"MassFeature","compound_experimental","compound_theoretical","massbank_match","massbank_ID","mz_experimental","mz_theoretical","mz_massbank","column_experimental","column_theoretical","z_experimental","z_theoretical","z_massbank","MS2_experimental","MS2_theoretical","MS2_massbank","ppm_mass_error","massbank_ppm","mz_similarity_score1","rt_similarity_score1","MS2_cosine_similarity1","massbank_cosine_similarity","total_similarity_score","confidence_rank","confidence_source"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-D-PROLINE ID:CCMSLIB00000578175","CCMSLIB00000578175",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","82.02872, 100; 128.0339, 52.9","128.03415, 100; 129.03761, 3.1; 82.0285, 1.4; 84.04405, 0.9",0,4.28384929283656,1,1,0.794604499697243,0.968323894213955,93.1534833232414,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"Taurine, D4","5-OXO-L-PROLINE ID:CCMSLIB00000578183","CCMSLIB00000578183",128.034768,128.0325,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5",NA,"128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7",17.7142522407595,4.28384929283656,0.99359084680306,0.000263409685041803,NA,0.966283915440869,49.6927128244051,"2","MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-L-PROLINE ID:CCMSLIB00000578183","CCMSLIB00000578183",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03425, 100; 82.02868, 3.2","128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7",0,4.28384929283656,1,1,0.909962160297431,0.966283915440869,96.998738676581,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-L-PROLINE ID:CCMSLIB00000578183","CCMSLIB00000578183",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03348, 100; 82.02822, 3.2","128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7",0,4.28384929283656,1,1,0.909962156332902,0.966283915440869,96.9987385444301,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-L-PROLINE ID:CCMSLIB00000578183","CCMSLIB00000578183",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03425, 100; 82.02862, 3.1","128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7",0,4.28384929283656,1,1,0.910038422678817,0.966283915440869,97.0012807559606,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-L-PROLINE ID:CCMSLIB00000578183","CCMSLIB00000578183",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03427, 100; 82.02867, 3","128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7",0,4.28384929283656,1,1,0.910114692945647,0.966283915440869,97.0038230981882,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-L-PROLINE ID:CCMSLIB00000578183","CCMSLIB00000578183",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03427, 100; 82.02865, 6.1","128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7",0,4.28384929283656,1,1,0.907759066209284,0.966283915440869,96.9253022069761,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-L-PROLINE ID:CCMSLIB00000578183","CCMSLIB00000578183",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03424, 100; 82.02865, 5.7","128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7",0,4.28384929283656,1,1,0.908061986800263,0.966283915440869,96.9353995600088,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-L-PROLINE ID:CCMSLIB00000578183","CCMSLIB00000578183",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","82.02967, 100; 128.03429, 48.6","128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7",0,4.28384929283656,1,1,0.786243334867665,0.966283915440869,92.8747778289222,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","5-OXO-L-PROLINE ID:CCMSLIB00000578183","CCMSLIB00000578183",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","82.02872, 100; 128.0339, 52.9","128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7",0,4.28384929283656,1,1,0.794604499697243,0.966283915440869,93.1534833232414,"1; 2","Ingalls_Standards; MoNA"
